Classifying ...

[1/150] true=NEGATIVE pred=NEGATIVE | No balance!!!
[122/150] true=NEGATIVE pred=NEGATIVE | Poor customer servce
[123/150] true=NEGATIVE pred=NEGATIVE | To save and use when I want not to be au
[124/150] true=POSITIVE pred=POSITIVE | Five Stars
[125/150] true=NEGATIVE pred=NEGATIVE | Gift card looked used
[126/150] true=NEUTRAL  pred=NEUTRAL  | Easy gift
[127/150] true=NEGATIVE pred=NEGATIVE | Amazon Holiday Giftcard
[128/150] true=NEUTRAL  pred=NEUTRAL  | what
[129/150] true=POSITIVE pred=POSITIVE | free money!
[130/150] true=NEGATIVE pred=NEGATIVE | Kind of Lousy
[131/150] true=NEUTRAL  pred=POSITIVE | pretty good.
[132/150] true=NEUTRAL  pred=NEUTRAL  | If to use again?
[133/150] true=NEUTRAL  pred=NEUTRAL  | Three Stars
[134/150] true=NEGATIVE pred=NEGATIVE | Didn't get $10 bonus for buying $50 wort
[135/150] true=NEUTRAL  pred=NEGATIVE | Easy
[136/150] true=POSITIVE pred=POSITIVE | Five Stars
[137/150] true=NEUTRAL  pred=POSITIVE | easy gifted
[138/150] true=POSITIVE pred=POSITIVE | fun
[139/150] true=POSITIVE pred=POSITIVE | Love this
[140/150] true=NEUTRAL  pred=POSITIVE | Gift card
[141/150] true=POSITIVE pred=POSITIVE | Just in time..
[142/150] true=NEUTRAL  pred=NEGATIVE | Service
[143/150] true=NEUTRAL  pred=NEGATIVE | Boring
[144/150] true=NEGATIVE pred=NEUTRAL  | card
[145/150] true=NEGATIVE pred=NEGATIVE | No
[146/150] true=NEUTRAL  pred=NEGATIVE | Didn’t get card with box
[147/150] true=NEUTRAL  pred=NEUTRAL  | but was hoping it would have come in bet
[148/150] true=POSITIVE pred=POSITIVE | Reload to use up gift card or debit card
[149/150] true=NEUTRAL  pred=NEUTRAL  | A gift from ?
[150/150] true=NEGATIVE pred=NEGATIVE | It's wasting their time and makes them d

===== RESULTS =====
n: 150
unclassified: 0
accuracy: 0.74
macro_f1: 0.7214
per_class: {'POSITIVE': {'count': 50, 'precision': 0.8148, 'recall': 0.88, 'f1': 0.8462}, 'NEUTRAL': {'count': 50, 'precision': 0.7, 'recall': 0.42, 'f1': 0.525}, 'NEGATIVE': {'count': 50, 'precision': 0.697, 'recall': 0.92, 'f1': 0.7931}}
confusion: {'POSITIVE': {'POSITIVE': 44, 'NEUTRAL': 6, 'NEGATIVE': 0}, 'NEUTRAL': {'POSITIVE': 9, 'NEUTRAL': 21, 'NEGATIVE': 20}, 'NEGATIVE': {'POSITIVE': 1, 'NEUTRAL': 3, 'NEGATIVE': 46}}
