Classifying ...

[1/300] true=POSITIVE pred=POSITIVE | its a gift card
[155/300] true=NEGATIVE pred=NEGATIVE | No funds on MasterCard delivered dec 24 
[156/300] true=POSITIVE pred=POSITIVE | Bonus $5 is great when you can find this
[157/300] true=NEGATIVE pred=NEGATIVE | Scam
[158/300] true=NEGATIVE pred=NEGATIVE | Nothing but problems/fraud on card
[159/300] true=POSITIVE pred=POSITIVE | No Problems!
[160/300] true=NEGATIVE pred=NEGATIVE | Deactivated??
[161/300] true=POSITIVE pred=POSITIVE | Five Stars
[162/300] true=POSITIVE pred=POSITIVE | Arrives Quickly
[163/300] true=NEGATIVE pred=NEGATIVE | HORRIBLE SHIPPING!
[164/300] true=POSITIVE pred=POSITIVE | RE: Great gift idea
[165/300] true=NEGATIVE pred=NEGATIVE | BUYER BEWARE!
[166/300] true=POSITIVE pred=POSITIVE | Five Stars
[167/300] true=POSITIVE pred=POSITIVE | Five Stars
[168/300] true=POSITIVE pred=POSITIVE | Giftable
[169/300] true=POSITIVE pred=POSITIVE | Five Stars
[170/300] true=POSITIVE pred=POSITIVE | Nothing
[171/300] true=NEGATIVE pred=NEGATIVE | Rip Off
[172/300] true=POSITIVE pred=POSITIVE | Fast shipping!
[173/300] true=POSITIVE pred=POSITIVE | Reload
[174/300] true=NEGATIVE pred=NEGATIVE | Constantly cancles my order for no reaso
[175/300] true=NEGATIVE pred=NEGATIVE | These were fake gift  cards.. Do not pur
[176/300] true=NEGATIVE pred=NEGATIVE | Confusing changes
[177/300] true=NEGATIVE pred=NEGATIVE | Unable to use
[178/300] true=POSITIVE pred=POSITIVE | Five Stars
[179/300] true=POSITIVE pred=POSITIVE | Five Stars
[180/300] true=NEGATIVE pred=NEGATIVE | Uber inactivated my cards
[181/300] true=NEGATIVE pred=NEGATIVE | Doesn't Work Under Any Circumstances
[182/300] true=NEGATIVE pred=NEGATIVE | Fraudulant.
[183/300] true=POSITIVE pred=POSITIVE | Five Stars
[184/300] true=NEGATIVE pred=NEGATIVE | CARD WONT ACTIVATE!
[185/300] true=NEGATIVE pred=NEGATIVE | This was sent to me by mistake  GIFT CER
[186/300] true=NEGATIVE pred=NEGATIVE | Gift card can’t be refunded to original 
[187/300] true=POSITIVE pred=POSITIVE | Five Stars
[188/300] true=POSITIVE pred=POSITIVE | Five Stars
[189/300] true=POSITIVE pred=POSITIVE | birthday card
[190/300] true=NEGATIVE pred=NEGATIVE | Disappointment
[191/300] true=NEGATIVE pred=NEGATIVE | Very aggravated I just received the phon
[192/300] true=NEGATIVE pred=POSITIVE | Ease of ordering
[193/300] true=NEGATIVE pred=NEGATIVE | Fast but incredibly lazy service
[194/300] true=POSITIVE pred=POSITIVE | awesome
[195/300] true=NEGATIVE pred=NEGATIVE | No balance on the gift card
[196/300] true=POSITIVE pred=POSITIVE | What a gift card!
[197/300] true=POSITIVE pred=POSITIVE | buen servicio
[198/300] true=NEGATIVE pred=NEGATIVE | NO CLAIM CODE AT THE BACK...DID I LOOSE 
[199/300] true=POSITIVE pred=POSITIVE | Four Stars
[200/300] true=POSITIVE pred=POSITIVE | Five Stars
[201/300] true=POSITIVE pred=NEGATIVE | Nice presentation box
[202/300] true=POSITIVE pred=POSITIVE | Love this
[203/300] true=NEGATIVE pred=NEGATIVE | Cheap
[204/300] true=NEGATIVE pred=NEGATIVE | Do not buy
[205/300] true=NEGATIVE pred=NEGATIVE | Old way was better
[206/300] true=NEGATIVE pred=NEGATIVE | BUYER BEWARE!! DO NOT BUY!!!
[207/300] true=POSITIVE pred=POSITIVE | Beautiful GC Holders
[208/300] true=POSITIVE pred=POSITIVE | Reload to use up gift card or debit card
[209/300] true=NEGATIVE pred=NEGATIVE | The card was supposed to include a note 
[210/300] true=POSITIVE pred=POSITIVE | Nice giftable tin package.
[211/300] true=POSITIVE pred=POSITIVE | You get what you expect
[212/300] true=NEGATIVE pred=NEGATIVE | Joke of the YEAR
[213/300] true=POSITIVE pred=POSITIVE | Perfect gift
[214/300] true=NEGATIVE pred=NEGATIVE | One card was already used
[215/300] true=POSITIVE pred=POSITIVE | Good Gift
[216/300] true=NEGATIVE pred=NEGATIVE | Amazon is doing thing without your permi
[217/300] true=NEGATIVE pred=NEGATIVE | Where is 10%?
[218/300] true=NEGATIVE pred=NEGATIVE | My son received the card from the order 
[219/300] true=POSITIVE pred=POSITIVE | Convenient and safe
[220/300] true=POSITIVE pred=POSITIVE | made grand child happy
[221/300] true=POSITIVE pred=POSITIVE | It was a great Christmas gift!
[222/300] true=POSITIVE pred=POSITIVE | i provided baby sitting service and they
[223/300] true=POSITIVE pred=POSITIVE | Recipients Liked It
[224/300] true=NEGATIVE pred=NEGATIVE | FRAUD
[225/300] true=NEGATIVE pred=NEGATIVE | Scam
[226/300] true=POSITIVE pred=POSITIVE | ok
[227/300] true=POSITIVE pred=POSITIVE | Perfect
[228/300] true=NEGATIVE pred=POSITIVE | Wonderful ❣️
[229/300] true=POSITIVE pred=POSITIVE | Money
[230/300] true=NEGATIVE pred=NEGATIVE | Money taken from charge acct. instead of
[231/300] true=POSITIVE pred=POSITIVE | Five Stars
[232/300] true=POSITIVE pred=POSITIVE | Five Stars
[233/300] true=POSITIVE pred=POSITIVE | Five Stars
[234/300] true=NEGATIVE pred=NEGATIVE | They lock gift cards after not using the
[235/300] true=POSITIVE pred=POSITIVE | Great!!! Easy to get .. Easy to use!!
[236/300] true=NEGATIVE pred=NEGATIVE | Visa Gift Card will not work!!
[237/300] true=POSITIVE pred=POSITIVE | They are gifts
[238/300] true=NEGATIVE pred=NEGATIVE | Amazon is extremely exra !
[239/300] true=NEGATIVE pred=NEGATIVE | Card was damaged
[240/300] true=NEGATIVE pred=NEGATIVE | Takes forever.
[241/300] true=NEGATIVE pred=NEGATIVE | Instructions not clear.
[242/300] true=POSITIVE pred=POSITIVE | Easy and Fast E-Delivery
[243/300] true=POSITIVE pred=POSITIVE | It is so easy, and a nice gift
[244/300] true=POSITIVE pred=POSITIVE | Super useful!
[245/300] true=POSITIVE pred=POSITIVE | Five Stars
[246/300] true=NEGATIVE pred=NEGATIVE | Scam!! Run away
[247/300] true=POSITIVE pred=POSITIVE | The real deal
[248/300] true=POSITIVE pred=POSITIVE | Great for Christmas gifts
[249/300] true=NEGATIVE pred=NEGATIVE | Pretty lousy value
[250/300] true=NEGATIVE pred=NEGATIVE | Go to walmart and buy one
[251/300] true=NEGATIVE pred=NEGATIVE | Cards send without activation
[252/300] true=POSITIVE pred=POSITIVE | 😁
[253/300] true=POSITIVE pred=POSITIVE | Grandkids gifts
[254/300] true=POSITIVE pred=POSITIVE | Gift
[255/300] true=POSITIVE pred=POSITIVE | Item as described
[256/300] true=POSITIVE pred=POSITIVE | Awesome
[257/300] true=NEGATIVE pred=NEGATIVE | One size  socks, probably made for Bigfo
[258/300] true=POSITIVE pred=POSITIVE | Beautiful
[259/300] true=NEGATIVE pred=NEGATIVE | One Star
[260/300] true=POSITIVE pred=POSITIVE | Awesome little box
[261/300] true=NEGATIVE pred=NEGATIVE | One Star
[262/300] true=NEGATIVE pred=NEGATIVE | Receiver Beware -- in how you use your g
[263/300] true=NEGATIVE pred=POSITIVE | One Star
[264/300] true=POSITIVE pred=POSITIVE | Gift
[265/300] true=POSITIVE pred=POSITIVE | Five Stars
[266/300] true=NEGATIVE pred=NEGATIVE | Never got my bonus
[267/300] true=NEGATIVE pred=NEGATIVE | Cant reaat this product it is 2 days lat
[268/300] true=NEGATIVE pred=NEGATIVE | Do not buy
[269/300] true=NEGATIVE pred=NEGATIVE | They don't mark the cards with amounts!
[270/300] true=POSITIVE pred=POSITIVE | fun
[271/300] true=NEGATIVE pred=NEGATIVE | Confusing on using card on purchase, rel
[272/300] true=NEGATIVE pred=NEGATIVE | Never again
[273/300] true=POSITIVE pred=POSITIVE | Five Stars
[274/300] true=NEGATIVE pred=NEGATIVE | Waste of money
[275/300] true=POSITIVE pred=POSITIVE | Five Stars
[276/300] true=POSITIVE pred=POSITIVE | Easy to reload
[277/300] true=NEGATIVE pred=NEGATIVE | FAKE!!! DO NOT BUY!!! ZERO STARS
[278/300] true=POSITIVE pred=POSITIVE | Good Deal for the Bonus
[279/300] true=NEGATIVE pred=NEGATIVE | It’s not working.
[280/300] true=NEGATIVE pred=NEGATIVE | Old Way was much better
[281/300] true=POSITIVE pred=POSITIVE | gift card
[282/300] true=POSITIVE pred=POSITIVE | Easy to use
[283/300] true=NEGATIVE pred=NEGATIVE | Delivery was awry. Delivered to a wrong 
[284/300] true=NEGATIVE pred=NEGATIVE | Takes hours to use the balance
[285/300] true=NEGATIVE pred=NEGATIVE | total garbage
[286/300] true=POSITIVE pred=POSITIVE | Works well
[287/300] true=NEGATIVE pred=NEGATIVE | No message or who it was from
[288/300] true=NEGATIVE pred=NEGATIVE | One Star
[289/300] true=NEGATIVE pred=NEGATIVE | Muy mal no tener la opción de código dig
[290/300] true=POSITIVE pred=POSITIVE | My go to gift card!
[291/300] true=NEGATIVE pred=NEGATIVE | Didn’t order this
[292/300] true=POSITIVE pred=POSITIVE | Five Stars
[293/300] true=POSITIVE pred=POSITIVE | Just the thing!
[294/300] true=POSITIVE pred=POSITIVE | Giftcard
[295/300] true=POSITIVE pred=POSITIVE | Duh
[296/300] true=POSITIVE pred=POSITIVE | Five Stars
[297/300] true=NEGATIVE pred=NEGATIVE | Annoying
[298/300] true=POSITIVE pred=POSITIVE | Five Stars
[299/300] true=NEGATIVE pred=NEGATIVE | They don't care about the CUSTOMER!!!  H
[300/300] true=POSITIVE pred=POSITIVE | Five Stars

===== RESULTS =====
n: 300
unclassified: 0
accuracy: 0.97
precision: 0.9608
recall: 0.98
f1: 0.9703
confusion: {'tp': 147, 'fp': 6, 'tn': 144, 'fn': 3}
